question_id	topic_id	question_text	answer_id	answer_text	is_correct_answer
16	4	Пациент, это физическое лицо	1	вступившее в правоотношения с работником медицинской организации	1
17	4	Виды правового статуса пациента	1	общий, специальный, индивидуальный	1
18	5	Организация  охраны здоровья граждан в Российской Федерации осовывается  на функционировании и развитии систем здравоохранения 	1	государственной, муниципальной. Частной	1
19	5	Количество уровней управления в медицинской организации	1	два	0
20	5	Уровни  управления в медицинской организации	1	управленческий, исполнительский	0
21	5	Трудовые правоотношения основываются	1	на устной договоренности	0
22	5	Трудовой договор заключается в форме	1	в письменной форме, оформляется в двух экземплярах, каждый из которых подписывается сторонами	1
23	5	Участники обязательного медицинского страхования	1	Федеральный фонд ОМС, территориальные фонды ОМС, застрахованные лица	0
24	5	Субъекты  обязательного медицинского страхования- 	1	застрахованные лица,страхователи, Федеральный фонд ОМС	1
25	5	Программа государственных гарантий оказания гражданам Российской Федерации бесплатной медицинской помощи предусматривает	1	условия оказания медицинской помощи, доступность медицинской помощи	1
26	6	Формы контроля качества и безопасности  медицинской деятельности 	1	государственный, ведомственный, внутренний	1
27	6	Внутренний контроль качества и безопасности  медицинской деятельности осуществляется организациями систем здравоохранения	1	частной	0
28	6	Риск -ориентированный подход в системе здравоохранения представляет собой 	1	метод организации и осуществления государственного контроля ( надзора) качества и безопасности медицинской деятельности	1
29	6	Выделяемые категории рисков  в отношении объектов  контроля качества и безопасности медицинской деятельности 	1	значительный, высокий, средний, незначительный	0
30	6	Периодичность  плановых проверок в отношении объектов контроля с высокой категорией риска	1	два раза  в год	0
31	7	Информатизация здравоохранения, это	1	процесс проведения комплекса мероприятий, направленный  на своевременное и полное обеспечение участников того или иного вида деятельности в сфере здравоохранения  необходимой информацией, определенным образом переработанной и ,при необходимости,преобразованной	1
32	7	Дистанционное наблюдение за состоянием здоровья пациента назначается	1	лечащим врачом после очного приема ( осмотра,консультации)	1
33	7	Документирование информации об оказании медицинской помощи пациенту с применением телемедицинских технологий  проводится	1	с использованием только оригинальной подписи медицинского работника	0
34	7	"Основная цель  Федерального проекта "" Создание единого цифрового контура  в здравоохранении на основе единой государственной информационной  системы здравоохранения ( ЕГИСЗ)"" "	1	внедрение и развитие медицинских информационных систем во всех медицинских организациях	0
35	8	Медицинская статистика изучает 	1	основные закономерности и тенденции здоровья населения и системы здравоохранения с использованием методов математического анализа	1
36	8	Основные разделы медицинской статистики 	1	статистика здоровья населения, статистика здравоохранения	1
37	8	Коэффициент естественного движения населения вычисляется как 	1	разность между показателями рождаемости и смертности населения	1
38	8	Типы возрастных структур населения	1	прогрессивный, стационарный, регрессивный	1
39	8	Медико-демографическая ситуация   как в Российской Федерации, так и в Европейском регионе характеризуется	1	увеличением  численности населения трудоспособного возраста	0
40	8	Анализ заболеваемости населения позволяет   давать оценку  и принимать  решения   	1	по потребности населения в медицинской помощи, коечном фонде, численности медицинских кадров, оснащении и в других видах ресурсов здравоохранения	1
41	1	Основными маркерами стволовых кроветворных клеток являются	1	CD3	0
42	1	При хронических инфекционных заболеваниях анемия обусловлена:	1	Гипоплазией кроветворения	0
43	1	Механизм извращенного кроветворения при пернициозной анемии:	1	Повышенное кроверазрушение	0
44	1	Пернициозная анемия в слизистой оболочке желудка проявляется:	1	Гиперплазией	0
45	1	При анапластической анемии в костном мозге выявляют преимущественно:	1	Элементы эритроидного ряда	1
46	1	ДВС-синдром обусловлен:	1	Нарушением в свертывающей системе	0
47	1	Паракортикальная гиперплазия лимфатического узла отражает:	1	Вирусные инфекции	1
48	1	Лимфоцитарные лимфомы отличаются:	1	Поражением детского возраста	0
49	1	Основное патогенетическое условие развития лейкоза:	1	Первичное поражение костного мозга	1
50	1	Лейкемический инфильтрат – это:	1	Очаг экстрамедуллярного кроветворения	0
51	1	Родоначальной для клеток крови является:	1	Ретикулярная клетка	0
52	1	Филадельфийская хромосома характерна для:	1	Миеломной болезни	0
53	1	При остром миелобластном лейкозе в органах кроветворения разрастаются:	1	Миеломные клетки	0
54	1	У больного 76 лет отмечается шейная лимфаденопатия. Рисунок лимфатического узла стерт, ткань его представлена относительно мономорфными крупными и средней величины клетками с эксцентрично расположенным ядром и выраженной базофильной цитоплазмой, иногда содержащей крупные интрацитоплазматические эозинофильные вакуоли. Встречаются двуядерные клетки. Других очагов поражения у пациента нет. Это может быть:	1	Хронический лимфаденит	0
55	1	У больного 45 лет в микропрепарате надключичного лимфатического узла, на фоне полимофноклеточного инфильтрата, выявляются единичные крупные, многоядерные клетки, которые экспрессируют CD15, CD30 и не экспрессируют СD20, CD45, EMA. Ваш диагноз:	1	Классическая лимфома Ходжкина	1
56	1	У больного 40 лет обнаружен конгломерат лимфатических узлов в подмышечных, надключичных и правой паховой областях. Температура тела 38о С в течение нескольких недель, потеря массы тела более 10%. При микроскопическим исследовании в лимфоузле – замещение волокнистой фиброзной тканью. Клеточных элементов мало. Среди них крупные, одноядерные (с симметрично расположенными ядрами) и полиморфные многоядерные клетки. Наиболее вероятна:	1	Лимфома Ходжкина, смешанный тип	0
57	1	У больной 38 лет в ткани лимфатического узла обнаружены крупные неправильной формы фолликулы из светлых мелких, средних и крупных клеток с большим числом митозов. В фолликулах значительное количество макрофагов. Выражена мантийная зона. Вероятнее всего это:	1	Нодулярная неходжскинская злокачественная лимфома	0
58	1	На вскрытии обнаружена картина диффузного остеопороза с очагами деструкции костной ткани. В костном мозге имеется пролиферация атипических плазматических клеток. В почках – скопления амилоидных масс в строме пирамид, в клубочках, в просветах канальцев – белковые цилиндры. Речь идет о:	1	Миелолейкозе	0
59	1	У больного некротический гингивит и тонзиллит. На коже множественные кровоизлияния. В периферической крови 100000 лейкоцитов в 1 мкл, среди которых 90% составляют незрелые клетки, не поддающиеся цитохимической идентификации. При гистологическом исследовании – интенсивно базофильные клетки с конденсированным хроматином, без признаков дифференцировки. Наиболее вероятный диагноз:	1	Лимфобластный лейкоз	0
60	1	У больного с клинической картиной лейкоза в пунктате грудины обнаружено, наряду с наличием миелоцитов, промегакариоцитов и мегакариоцитов, преобладание клеток эритобластического ряда: пронормоцитов и нормоцитов. Наиболее вероятный диагноз:	1	Лимфолейкоз	0
61	1	У больного 56 лет лимфоузлы резко увеличены, располагаются пакетами, не спаяны между собой, на разрезе серого цвета. Гистологически: мономорфная картина, представленная клетками типа зрелых лимфоцитов. Эта клиническая картина наблюдается при:	1	Лимфома из малых лимфоцитов	1
62	1	При проведении аутопсии у умершего больного 68 лет выявлена гепато- спленомегалия. В костном мозге пролиферация всех трех ростков, увеличение числа ядерных форм красного ряда, большое количество мегакариоцитов, почти полное исчезновение жировых клеток, очаговое рассасывание костных балок. Эта картина наблюдается при:	1	Малярии	0
63	1	Назовите морфологические признаки недифференцированного острого лейкоза:	1	Геморрагический диатез	1
64	1	К группе парапротеинемических лейкозов относят:	1	Миеломную болезнь	1
65	1	Назовите характерные морфологические признаки лимфоцитарного лимфолейкоза:	1	Наличие инфильтратов из лимфоцитов	1
66	1	К острым относятся следующие лейкозы:	1	Лимфобластный	1
67	1	Какие признаки характерны для миеломной болезни:	1	Наличия в моче белковых тел Бенс-Джонса	1
68	1	К проявлениям лейкозов относят :	1	Лейкозную инфильтрацию костного мозга	1
69	1	К осложнениям лейкозов относят:	1	Сепсис	1
70	1	Патогномоничными в селезенке при миеломе являются все перечисленные изменения, кроме:	1	Атрофии фолликулов	1
71	1	В зависимости от характера течения анемии делятся на:	1	Острые	1
72	1	Этиологическими факторами анемии могут быть:	1	Кровопотери	1
73	1	Вещества, регулирующие гемопоэз:	1	Интерлейкин-3	1
74	1	К хронической постгеморрагической анемии приводят заболеваниия:	1	Сердечно-сосудистой системы	0
75	1	Фолликулярная гиперплазия чаще выявляется в лимфатических узлах:	1	Средостения	1
76	1	Причины приобретенной гемолитической анемии :	1	Недостаточный синтез глобина	0
77	1	Признаки гемолитической анемии:	1	Увеличение количества нормобластов в костном мозге	1
78	1	Аутоиммунная гемолитическая анемия развивается при:	1	Ревматоидном артрите	1
79	1	Причины мегалобластной анемии-это:	1	Избыток эритропоэтина	0
80	1	Анапластические крупноклеточные лимфомы характеризуются экспрессией:	1	СD30	1
81	1	Фенотип грибовидного микоза характеризуется экспрессией:	1	EMA	0
82	1	Иммунофенотип фолликулярной лимфомы характеризуются экспрессией:	1	Bcl-2	1
83	1	Лимфома из клеток мантийной зоны характеризуются экспрессией:	1	СD20	1
84	1	Особенности хронического лимфолейкоза:	1	Генерализованное увеличение лимфатических узлов	1
85	1	Причины хромосомных аббераций при лейкозах:	1	Ретровирусы	1
86	1	Характеристика миелодиспластических синдромов:	1	Неполноценный гемопоэз	1
87	1	Причины смерти при миелопролиферативных заболеваниях:	1	Инфаркт миокарда	1
88	1	Осложнения множественной миеломы:	1	Гиперкальциемия	1
89	1	Селезенка при лимфоме Ходжкина:	1	Размер увеличен	1
90	1	Типы клеток Рид-Березовского-Штернберга при лимфоме Ходжкина:	1	С кольцевидным ядром	0
91	2	Парамиксовирус при болезни Педжета костей обладает тропизмом к:	1	Остеоцитам	0
92	2	Каков основной путь распространения инфекции при остеомиелите:	1	Контактный	0
93	2	Какой возбудитель наиболее часто вызывает остеомиелит:	1	Пневмококк	0
94	2	Какова наиболее частая причина остеомиелита у людей с серповидно-клеточной анемией:	1	Пневмококк	0
95	2	При остеомиелите у детей возбудитель локализуется в:	1	Эпифизах костей	1
96	2	Назовите наиболее частую доброкачественную опухоль костей:	1	Гемангиома	0
97	2	Назовите доброкачественную опухоль неизвестного генеза:	1	Адамантинома	0
98	2	Какими множественными образованиями характеризуется синдром Гарднера:	1	Липомами	0
99	2	При каком виде лечения вероятность малигнизации остеоид – остеом увеличивается:	1	Химиотерапия	0
100	2	В каком суставе локализуется крупная синовиальная киста (киста Бейкера) при ревматоидном артрите:	1	Пястно-фаланговом	0
101	2	Назовите синонимичное название болезни Бехтерева и Мари – Штрюмпеля:	1	Ревматоидный артрит	0
102	2	Артрит Лайма вызывают:	1	Гонококки	0
103	2	Поражение каких суставов наиболее характерно в начале заболевания при подагре:	1	Тыла стопы	0
104	2	Для абсцесса Броди характерно поражение:	1	Челюсти с преобладанием склеротических изменений в кости	0
105	2	К злокачественным хондрогенным опухолям относятся:	1	Хондрома	0
106	2	Какое заболевание вероятнее всего имеет фатальный исход:	1	Прогрессивно оссифицирующий миозит	1
107	2	К врождённым простым мальформациям костей относятся:	1	Синдактилия	1
108	2	К первичным осложнениям остеопороза относятся:	1	Кифосколиозы	1
109	2	Какое заболевание развивается в результате дисфункции остеокластов:	1	Остеопороз	0
110	2	К доброкачественным остеогенным опухолям относятся:	1	Остеобластома	1
111	2	В каких органах можно обнаружить гематогенные метастазы остеосаркомы:	1	Костях	1
112	2	Какими макроскопическими характеристиками обладает узел гигантоклеточной опухоли кости:	1	Большой размер	1
113	2	При поражении раковой опухолью каких органов обычно наблюдаются одиночные метастазы в кости:	1	Предстательной железы	0
114	2	Перечислите компоненты гиалинового хряща:	1	Вода	1
115	2	С поражения каких суставов начинается ревматоидный артрит:	1	Суставов стоп	1
116	2	Перечислите изменения синовиальной оболочки при ревматоидном артрите:	1	Периваскулярные воспалительные инфильтраты	1
117	2	Перечислите компоненты ревматоидного узелка:	1	Лимфоциты	1
118	2	Какие патологические процессы включает синдром Фелти:	1	Нейтропения	1
119	2	Перечислите проявления первично-системного характера ювенильного артрита:	1	Серозиты	1
120	2	В каких суставах при анкилозирующем спондилоартрите локализуются изменения:	1	Плечевых	0
121	2	К осложнениям анкилозирующего спондилоартрита относятся:	1	Увеит	1
122	2	К ранним и частым проявлениями синдрома Рейтера относятся:	1	Поясничная боль	1
123	2	Экспрессия лейкоцитарного антигена HLA-27 выявляется при:	1	Синдроме Рейтера	1
124	2	К эндогенным кристаллам, вызывающим патологические изменения при артропатиях, относят:	1	Мононатриевые ураты	1
125	2	Какие изменения характерны для синдрома Леше – Нихема:	1	Гиперурикемия	1
126	2	К вторичным осложнениям остеопороза относятся:	1	Кифосколиозы	0
127	2	К злокачественным остеогенным опухолям относятся:	1	Остеосаркома	1
128	2	К злокачественным опухолям неизвестного генеза относятся:	1	Фиброзная гистиоцитома	0
129	2	Каковы морфологические характеристики хондросаркомы высокой степени злокачественности:	1	Гиперклеточность	1
130	2	Какова наиболее частая локализация миопериостита:	1	Ягодицы	1
131	3	К ревматической болезни относится:	1	туберкулез	0
132	3	Признак, объединяющий ревматические болезни - это:	1	кахексия	0
133	3	Характерное изменение соединительной ткани при ревматических болезнях:	1	склероз	0
134	3	На активность ревматического процесса указывает:	1	недостаточность трехстворчатого клапана	0
135	3	Коллаген окрашивается в голубой цвет, когда его выявляют:	1	окраской по Футу	0
136	3	Признаком активности ревматического процесса является:	1	недостаточность аортального клапана	0
137	3	Назовите наиболее частую клинико-анатомическую форму ревматизма:	1	полиартритическая	0
138	3	Основным морфологическим признаком ранней стадии возникновения ревматической гранулемы является:	1	фибриноидное набухание	1
139	3	К ведущему признаку изменения соединительной ткани, характерному для обострения ревматизма относится:	1	амилоидоз	0
140	3	Эндокардит при ревматизме встречается в форме:	1	полипозно-язвенного	0
141	3	Осложнение возвратно-бородавчатого эндокардито связано с:	1	инфарктами в органах большого круга кровообращения	1
142	3	Возможный исход ревматического миокардита связан с развитием:	1	порока сердца	0
143	3	Какой клапан сердца поражается при ревматизме чаще всего:	1	аортальный	0
144	3	Какая форма миокардита обычно развивается при ревматизме у взрослых:	1	экссудативный диффузный	0
145	3	К характерному признаку возвратно-бородавчатого эндокардита относится:	1	склероз стенок в их изъязвлением	0
146	3	Ведущим осложнением ревматического возвратно-бородавчатого эндокардита является:	1	гнойный менингит	0
147	3	Исходом ревматического эндокардита является:	1	изъязвление клапана	0
148	3	Форма ревматического перикардита:	1	гнойный	0
149	3	Основным изменением створок клапанов при ревматическом остром бородавчатом эндокардите является:	1	изъязвление клапанов	0
150	3	В третьей стадии ревматоидного артрита отмечают:	1	артроз	0
151	3	Наиболее частым осложнением ревматоидного артрита является:	1	эндомиокардит	0
152	3	Исходы изменений в связочном аппарате позвоночника и межпозвонковых дисков при ревматоидном артрите:	1	мукоидное набухание	0
153	3	Характерный морфологический признак при узелковом периартериите:	1	артериолосклероз	0
154	3	Исход узелкового периартериита:	1	мукоидное набухание	0
155	3	Феномен «проволочных петель» в почках развивается при:	1	ревматизме	0
156	3	Какой эндокардит развивается при системной красной волчанке:	1	возвратно-бородавчатый	0
157	3	Характерным морфологическим признаком волчаночного нефрита является:	1	гиалиноз стромы	0
158	3	Наиболее возможная непосредственная причина смерти при системной красной волчанке:	1	инфаркт легкого	0
159	3	Изменения в коже при склеродермии проявляются в виде:	1	гиалиноза	1
160	3	Характерным изменением сердца при системной склеродермии является:	1	возвратно-бородавчатый эндокардит	0
161	3	Какие клетки являются морфологической основой невуса:	1	кератиноциты	0
162	3	Вариант невуса с явлениями инволюции в виде фибротизации («стареет»):	1	ювенильный невус	0
163	3	Вид невуса с возможностями трансформации в меланому (минимальную меланому):	1	ювенильный невус	0
164	3	Характерные макроскопические признаки «синдрома атипических невусов» относятся к:	1	ювенильному невусу	0
165	3	Дисплазия – это	1	повышение созревания клеток	0
166	3	Возраст пациентов с пятном Гетчинсона / меланоза Дюбрейля /:	1	детский	0
167	3	Клеточный вариант злокачественной меланомы:	1	поверхностно распространяющаяся	0
168	3	При какой опухоли обнаруживаются «педжетоидные» меланоциты:	1	внутриэпидермальный невус	0
169	3	Синоним акральной меланомы:	1	баллонизированная	0
170	3	Патогномоничный признак псориаза:	1	акантоз с колбообразным утолщением апикальных отделов	1
171	3	Патогномоничный признак красного плоского лишая:	1	акантоз с колбообразным утолщением апикальных отделов	0
172	3	При саркоидозе Бека / Бека – Шаумана / эпителиодные гранулёмы располагаются преимущественно:	1	в верхней трети дермы	1
173	3	Очаговая эритема на лице в виде «бабочки» характерна для:	1	дерматит атопический	0
174	3	Гистологический признак в виде «серозных колодцев» характерен для:	1	экземы	1
175	3	Микроабсцессы Мунро характерны для:	1	кольцевидной гранулёмы	0
176	3	Деструкция коллагеновых волокон с очагами некроза и атрофией выявляется при:	1	кольцевидной гранулёме	1
177	3	Эпителиоидные бугорки с фибротизацией характерны для:	1	туберкулёза	0
178	3	Какой из вариантов невусов происходит из меланоцитов эпидермиса:	1	ювенильный невус	1
179	3	Синонимы ювенильного невуса:	1	шпиц-невус	1
180	3	Признаки пролиферирующего голубого невуса:	1	отёчная слабо выраженная строма	1
181	3	Признаки простого голубого невуса:	1	гиалиноз стромы	1
182	3	Варианты диспластического невуса:	1	диспластический невус трёх степеней выраженности	1
183	3	Гистологические варианты злокачественной меланомы:	1	поверхностно распространяющаяся	1
184	3	Необходимая дополнительная окраска при мастоцитозе:	1	по ван Гизон	0
185	4	При оплодотворении яйцеклетки фолликул превращается в тело:	1	Белое	0
186	4	При беременности в гипофизе снижается секреция гормона:	1	Лютеинизирующего	0
187	4	Эндометрий при беременности находится под регулирующим влиянием гормонов:	1	Эстрогенов	0
188	4	Для гравидарного эндометрия характерен признак :	1	Прямые железы эндометрия с округлыми или овальными контурами	0
189	4	На молочную железу при беременности оказывает влияние гормон гипофиза:	1	Соматомамматропин	1
190	4	При беременности увеличение размеров молочных желез происходит за счет пролиферации структур:	1	Эпителия выводных протоков внутри долек	0
191	4	Для лактирующей молочной железы характерно:	1	Уменьшение размеров долек	0
192	4	Условия развития трубной беременности	1	Двурогая матка	0
193	4	Наиболее характерным для эклампсии беременных является синдром:	1	Нарушенного всасывания	0
194	4	Печень, у умерших от эклампсии, чаще всего:	1	Уменьшена	0
195	4	Для HELLP-синдрома характерен клинический признак:	1	Синдром портальной гипертензии	0
196	4	Морфологический признак характеризующий нарушение созревания ворсинчатого дерева	1	Компенсаторная гиперплазия плаценты	0
197	4	Основной показатель гематогенного инфицирования плаценты	1	децидуит	0
198	4	К отслойке плаценты может привести	1	длинная пуповина	0
199	4	Генетическая характеристика частичного пузырного заноса	1	диплоидный набор хромосом отцовского происхождения	0
200	4	Какой из перечисленных видов внематочной беременности не является таковым:	1	Трубная	1
201	4	Для гепатоцитов при эклампсии беременных характерны морфологические изменения:	1	Дистрофические	1
202	4	В головном мозге при эклампсии беременных развиваются морфологические изменения:	1	Субархноидальное кровоизлияние	1
203	4	Какие из перечисленных признаков являются фактором риска развития эклампсии:	1	Болезни сердечно-сосудистой системы	1
204	4	В ответ на инфекцию при хориоамнионите происходит:	1	усиление сократимости матки	1
205	4	Трофобласт состоит из :	1	цитотрофобласта	1
206	4	Наиболее редкие возбудители при восходящей инфекции плаценты	1	энтерококки	0
207	4	Признаки старой ретроплацентарной гематомы	1	бурая	1
208	4	Морфологические признаки печени при эклампсии	1	увеличена	1
209	4	Признаки острого атероза в спиральных артериях плацентарного ложа	1	лимфо-гистиоцитарная периваскулярная инфильтрация	1
210	5	Рак Крукенберга - это метастаз рака желудка в	1	яичники	1
211	5	Плацентарный полип образуется после	1	родов или аборта	1
212	5	Причина гиперплазии эндометрия	1	дисфункция яичников	1
213	5	Лейомиома чаще локализуется в	1	желудке	0
214	5	Самый высокий риск малигнизации наблюдается при	1	простой гиперплазии эндометрия	0
215	5	Миома матки может вызывать наружное кровотечение, если на локализуется	1	субсерозно	0
216	5	Рак эндометрия характеризуется	1	развитием в молодом возрасте	0
217	5	Для лейомиосаркомы характерно	1	наличие множественных очагов некроза и кровоизлияний	1
218	5	Развитие эндометриоза объясняет	1	вирусная теория	0
219	5	Острый оофорит характеризуется	1	продуктивной воспалительной реакцией с формированием гранулем	0
220	5	К доброкачественным опухолям яичника относится	1	серозная цистаденокарцинома	0
221	5	Текома яичника характеризуется	1	развитием преимущественно в молодом возрасте	0
222	5	Хориокарцинома характеризуется	1	развитием преимущественно в молодом возрасте	1
223	5	Морфологические признаки простой атипической гиперплазии эндометрия	1	эпителий желез однослойный призматический	0
224	5	К опухолям яичника относят опухоль:	1	Вильмса;	0
225	5	Сложная атипическая гиперплазия эндометрия характеризуется:	1	малым количеством митозов;	0
226	5	Наиболее частыми злокачественными новообразованиями вульвы являются:	1	аденокарциномы	0
227	5	В препубертатном периоде наиболее частыми причинами развития маточных кровотечений являются:	1	ановуляторный цикл	0
228	5	Наиболее частой причиной дисфункциональных маточных кровотечений являются:	1	ановуляторный цикл	1
