question_id	answer_id	answer_text	is_correct_answer
1626	2	«Дексаметазоном»	0
1626	3	«Кломифеном»	0
1626	4	«Кальцитонином»	0
1627	1	моноклональная опухоль аденогипофиза 	1
1627	2	снижение гипоталамической секреции соматостатина	0
1627	3	СТГ-секретирующая опухоль внегипофизарной локализации	0
1627	4	"апудома, секретирующая соматолиберин"	0
1628	1	интракраниальной компрессии	1
1628	2	интраселлярной компрессии	0
1628	3	повышенного внутричерепного давления	0
1628	4	пустого турецкого седла	0
1629	1	акромегалии	1
1629	2	гигантизма	0
1629	3	высокорослости	0
1629	4	синдрома Мак-Кьюна-Олбрайта	0
1630	1	соматомедина С	1
1630	2	соматотропного гормона	0
1630	3	инсулина	0
1630	4	пролактина	0
1631	1	уровень соматомедина С более возрастной нормы и величина СТГ-надира более 1 нг/мл	1
1631	2	уровень соматомедина С в пределах возрастной нормы и величина СТГ-надира менее 1 нг/мл	0
1631	3	повышение спорадического уровня СТГ	0
1631	4	нарушение углеводного обмена	0
1632	1	МРТ с контрастным усилением	1
1632	2	КТ с контрастным усилением	0
1632	3	сцинтиграфия с октреосканом	0
1632	4	ангиография	0
1633	1	акромегалия	1
1633	2	гипофизарный гигантизм	0
1633	3	узловой зоб в сочетании с артериальной гипертензией и сердечной недостаточностью	0
1633	4	пахидермопериостоз	0
1634	1	трансназальная транссфеноидальная аденомэктомия	1
1634	2	лучевая терапия	0
1634	3	медикаментозная терапия	0
1634	4	химиотерапия	0
1635	1	синтетические аналоги соматостатина	1
1635	2	эстрогены	0
1635	3	антагонисты дофамина	0
1635	4	антитела к СТГ	0
1636	1	гипопитуитаризма	1
1636	2	оптической нейропатии	0
1636	3	радио-индуцированных опухолей	0
1636	4	лучевого некроза	0
1637	1	повышение выработки тиролиберина	1
1637	2	недостаточная секреция допамина	0
1637	3	повышенная секреция допамина	0
1637	4	повышение выработки соматостатина	0
1638	1	бесплодия	1
1638	2	увеличения размеров кистей и стоп	0
1638	3	артериальной гипертензии	0
1638	4	сахарного диабета	0
1639	1	применение агонистов дофамина	1
1639	2	протонотерапия	0
1639	3	нейрохирургическое лечение	0
1639	4	применение аналогов соматостатина	0
1640	1	автономная АКТГ-секретирующая аденома гипофиза 	1
1640	2	опухоль надпочечника	0
1640	3	АКТГ-секретирующая апудома	0
1640	4	узелковая гиперплазия надпочечников	0
1641	1	синдроме гиперкортицизма	1
1641	2	синдроме Симмондса	0
1641	3	гипоталамическом ожирении	0
1641	4	экзогенно-конституциональном ожирении	0
1642	1	болезнь Иценко-Кушинга 	1
1642	2	АКТГ-независимый гиперкортицизм	0
1642	3	АКТГ-эктопированный синдром	0
1642	4	ятрогенный синдром Кушинга	0
1643	1	трансназальная транссфеноидальныая аденомэктомия	1
1643	2	адреналэктомия	0
1643	3	гамма-терапия	0
1643	4	протонотерапия	0
1644	1	непосредственного разрушения (удаления) клеток аденогипофиза	1
1644	2	анатомических расстройств гипоталамо-гипофизарных взаимоотношений	0
1644	3	ослабления регулирующего влияния гипоталамуса на функции гипофиза	0
1644	4	ишемического или геморрагического инсульта	0
1645	1	синдром Шиена	1
1645	2	первичный гипотиреоз	0
1645	3	надпочечниковая недостаточность	0
1645	4	послеродовый тиреоидит	0
1646	1	синдром Каллманна	1
1646	2	синдром Клайнфельтера	0
1646	3	синдром Мэддока	0
1646	4	задержанное половое развитие	0
1647	1	дифференциальной диагностики между первичным и вторичным гипогонадизмом	1
1647	2	дифференциальной диагностики между синдромами Каллманна и Мэддока	0
1647	3	дифференциальной диагностики между синдромами Клайнфельтера и Дель Кастильо	0
1647	4	лечения синдрома Нунан	0
1648	1	гипофункции передней доли гипофиза	1
1648	2	гипопаратиреозе	0
1648	3	тиреотоксикозе	0
1648	4	гиперфункции гипофиза	0
1649	1	снижение уровней ТТГ и Т4 св.	1
1649	2	наличие высокого титра антител к тиреопероксидазе	0
1649	3	повышение уровня ТТГ	0
1649	4	увеличение массы тела	0
1650	1	нормальное содержание свободного Т4 в крови	1
1650	2	нормальный уровень ТТГ	0
1650	3	значительное повышение уровня ТТГ	0
1650	4	отсутствие антител к тиреопероксидазе	0
1651	1	отсутствие дефицита минералокортикоидов	1
1651	2	более тяжелое течение по сравнению с первичным гипокортицизмом	0
1651	3	наличие меланодермии и пристрастия к соленой пище	0
1651	4	повышение артериального давления	0
1652	1	длительный прием глюкокортикоидных препаратов	1
1652	2	синдром Шиена	0
1652	3	синдром Симмондса	0
1652	4	опухоли гипоталамо-гипофизарной области	0
1653	1	гипонатриемия	1
1653	2	гипернатриемия	0
1653	3	гиперкалиемия	0
1653	4	гипергликемия	0
1654	1	неспособность почек реабсорбировать воду и концентрировать мочу в результате дефекта секреции или действия вазопрессина	1
1654	2	"повышение продукции вазопрессина, не соответствующее изменению осмоляльности крови"	0
1654	3	симптоматический сахарный диабет	0
1654	4	нарушенная толерантность к глюкозе	0
1655	1	гипоталамо-гипофизарная недостаточность	1
1655	2	повышенная продукция антидиуретического гормона	0
1655	3	повышенная секреция альдостерона	0
1655	4	нарушение рецепторной чувствительности канальцев почек к вазопрессину	0
1656	1	несахарного диабета центрального генеза	1
1656	2	нефрогенной формы несахарного диабета	0
1656	3	психогенной полидипсии	0
1656	4	хронической почечной недостаточности	0
1657	1	нарушением чувствительности клеток почечных канальцев к вазопрессину	1
1657	2	повышением чувствительности клеток почечных канальцев к вазопрессину	0
1657	3	снижением продукции вазопрессина	0
1657	4	повышением ферментного распада вазопрессина	0
1658	1	снижение относительной плотности мочи менее 1005 во всех порциях пробы Зимницкого	1
1658	2	гипонатриемия и гиперкалиемия	0
1658	3	снижение осмоляльности плазмы менее 300 мосм/кг	0
1658	4	повышение осмоляльности мочи более 300 мосм/кг 	0
1659	1	отличить центральную и почечную формы несахарного диабета	1
1659	2	диагносцировать первичный гипотиреоз	0
1659	3	оценить резервные возможности бета-клеток	0
1659	4	отличить первичный и вторичный гипогонадизм	0
1660	1	для дифференциальной диагностики между центральной и почечной формами несахарного диабета	1
1660	2	для исключения психогенной полидипсии 	0
1660	3	в случае неинформативности пробы с сухоедением	0
1660	4	для исключения сахарного диабета	0
1661	1	проба с сухоедением	1
1661	2	проба с десмопрессином	0
1661	3	маршевая проба	0
1661	4	малая дексаметазоновая проба	0
1662	1	идиопатический гиперальдостеронизм	1
1662	2	альдостеронпродуцирующая аденома	0
1662	3	альдостеронпродуцирующая карцинома	0
1662	4	Глюкокортикоидзависимый гиперальдостеронизм	0
1663	1	"артериальная гипертензия, резистентная к медикаментозной терапии"	1
1663	2	ортостатическая гипотония	0
1663	3	сахарный диабет	0
1663	4	гипокалиемия	0
1664	1	определение альдостерон-ренинового соотношения	1
1664	2	определение спорадического уровня альдостерона	0
1664	3	определение активности ренина плазмы	0
1664	4	проведение маршевой пробы	0
1665	1	более 50	1
1665	2	30-50	0
1665	3	окт.30	0
1665	4	 5-10	0
1666	1	кортикостерома или кортикобластома	1
1666	2	макронодулярная гиперплазия	0
1666	3	микронодулярная гиперплазия	0
1666	4	функциональный гиперкортицизм	0
1667	1	атрофирован 	1
1667	2	гипертрофирован	0
1667	3	не изменен	0
1667	4	пониженной плотности	0
1668	1	надпочечниковая недостаточность	1
1668	2	повышение артериального давления	0
1668	3	развитие сахарного диабета	0
1668	4	снижение уровня кальция в крови	0
1669	1	андрогены	1
1669	2	глюкокортикоиды	0
1669	3	альдостерон	0
1669	4	эстрогены	0
1670	1	дегидроэпиандростерона-сульфата	1
1670	2	свободного кортизола	0
1670	3	конъюгированных метанефринов	0
1670	4	тестостерона	0
1671	1	131Iметайодбензилгуанидина	1
1671	2	99Tc-технеция	0
1671	3	99m Tc-технетрила	0
1671	4	123I-йодида натрия	0
1672	1	определение кортизола в ранние утренние часы на фоне подавляющего теста с 1 мг Дексаметазона	1
1672	2	определение суточной экскреции кортизола с мочой	0
1672	3	определение уровня свободного кортизола в вечернее время	0
1672	4	проведение пробы с Синактеном-депо	0
1673	1	катехоламины	1
1673	2	андрогены	0
1673	3	глюкокортикоиды	0
1673	4	альдостерон	0
1674	1	свободных фракций метанефринов в плазме крови и суточной моче	1
1674	2	адреналина и норадреналина в плазме крови	0
1674	3	ванилилминдальной кислоты в суточной моче	0
1674	4	катехоламинов и их метаболитов в моче	0
1675	1	сцинтиграфия с метайодбензилгуанидином	1
1675	2	КТ органов грудной и брюшной полости	0
1675	3	сцинтиграфия с технетрилом	0
1675	4	УЗИ органов брюшной полости	0
1676	1	Уотерхауса-Фридериксена	1
1676	2	Беглиери	0
1676	3	Прадера	0
1676	4	Киммельстил-Уилсона	0
1677	1	выраженная слабость и быстрая физическая утомляемость	1
1677	2	увеличение массы тела	0
1677	3	повышение артериального давления	0
1677	4	повышение аппетита	0
1678	1	избыточным образованием проопиомеланокортина	1
1678	2	гипербилирубинемией	0
1678	3	гемохроматозом	0
1678	4	пеллагрой	0
1679	1	первичную надпочечниковую недостаточность	1
1679	2	синдром Иценко-Кушинга	0
1679	3	феохромоцитому	0
1679	4	гиперальдостеронизм	0
1680	1	отсутствие гиперпигментации	1
1680	2	наличие гиперпигментации 	0
1680	3	артериальная гипертензия	0
1680	4	наличие симптомов недостаточности глюко- и минералокортикоидов	0
1681	1	слизисто-кожный кандидоз	1
1681	2	первичный гипокортицизм	0
1681	3	первичный гипогонадизм	0
1681	4	витилиго	0
1682	1	заместительную терапию глюко- и минералокортикоидами	1
1682	2	минералокортикоиды	0
1682	3	спиронолактон	0
1682	4	кетокеназол	0
1683	1	«Кортеф»	1
1683	2	«Преднизолон»	0
1683	3	«Дексаметазон»	0
1683	4	«Кортинефф»	0
1684	1	Флудрокортизон	1
1684	2	Преднизолон	0
1684	3	Гидрокортизон	0
1684	4	Дексаметазон	0
1685	1	увеличить в 2-3 раза	1
1685	2	оставить в прежней дозе	0
1685	3	существенно снизить суточную дозу	0
1685	4	отменить до разрешения простуды	0
1686	1	"генетически обусловленная неполноценность ферментных систем, участвующих в стероидогенезе"	1
1686	2	АКТГ-секретирующая опухоль гипофиза	0
1686	3	повышенная продукция кортизола	0
1686	4	опухоли коры надпочечников	0
1687	1	17-ОН прогестерон	1
1687	2	кортизол 	0
1687	3	альдостерон	0
1687	4	ренин	0
1688	1	дефицит 21-гидроксилазы	1
1688	2	дефицит 11-бета-гидроксилазы	0
1688	3	дефицит 3- бета-гидроксилазы	0
1688	4	дефицит 17-альфа-гидроксилазы	0
1689	1	повышение продукции надпочечниковых андрогенов	1
1689	2	повышение секреции кортикостерона	0
1689	3	повышение артериального давления	0
1689	4	позднее закрытие зон роста костей	0
1690	1	препараты глюкокортикоидного ряда	1
1690	2	минералокортикоидные препараты	0
1690	3	комбинированные оральные контрацептивы	0
1690	4	антиандрогенные препараты	0
1691	1	препараты глюко-и минералокортикоидного ряда	1
1691	2	глюкокортикоидные препараты	0
1691	3	минералокортикоидные препараты	0
1691	4	блокаторы стероидогенеза	0
1692	1	определение гликированного гемоглобина	1
1692	2	определение гликемии натощак	0
1692	3	определение фруктозамина	0
1692	4	определение посталиментарной гликемии	0
1693	1	"глюкоза плазмы крови натощак более 6,1 ммоль/л, но не выше 7,0 ммоль/л"	1
1693	2	"глюкоза плазмы крови натощак более 7,0 ммоль/л"	0
1693	3	"глюкоза плазмы крови натощак более 5,5 ммоль/л, но не выше 6,1 ммоль/л"	0
1693	4	"глюкоза плазмы крови в любое время более 11,0 ммоль/л"	0
1694	1	"натощак – менее 5,6 ммоль/л, через 2 часа – менее 7,8 ммоль/л"	1
1694	2	"натощак – 6,1 ммоль/л, через 2 часа – 7,8-11,1 ммоль/л"	0
1694	3	"натощак – более 6,1 ммоль/л, через 2 часа – более 11,1 ммоль/л"	0
1694	4	"натощак – более 5,6 ммоль/л, через 2 часа – менее 7,8 ммоль/л"	0
1695	1	"натощак – более 6,1 ммоль/л, через 2 часа – более 11,1 ммоль/л"	1
1695	2	"натощак – менее 5,6 ммоль/л, через 2 часа – менее 7,8 ммоль/л"	0
1695	3	"натощак – 6,1 ммоль/л, через 2 часа – менее 7,8 ммоль/л"	0
1695	4	"натощак – более 5,6 ммоль/л, через 2 часа – менее 7,8 ммоль/л"	0
1696	1	"натощак менее 7,0 ммоль/л, через 2 часа после нагрузки – более 7,8 ммоль/л, но менее 11,1 ммоль/л"	1
1696	2	"натощак более 5,5 ммоль/л, через 2 часа после нагрузки – менее 7,8 ммоль/л"	0
1696	3	"натощак менее 6,7 ммоль/л, через 2 часа после нагрузки – более 11,1 ммоль/л"	0
1696	4	"натощак более 6,1 ммоль/л, через 2 часа после нагрузки – более 11,1 ммоль/л"	0
1697	1	"более 5,6 – менее 6,1 ммоль/л"	1
1697	2	"менее 5,5 – более 6,2 ммоль/л"	0
1697	3	"более 6,0 – менее 7,0 ммоль/л"	0
1697	4	"менее 5,8 – более 6,0 ммоль/л"	0
1698	1	"более или равном 6,1 ммоль/л"	1
1698	2	"более 6,0 ммоль/л"	0
1698	3	"более 5,6 ммоль/л"	0
1698	4	"более 5,8 ммоль/л"	0
1699	1	нарушение толерантности к глюкозе	1
1699	2	сахарный диабет 2 типа	0
1699	3	сахарный диабет 1 типа	0
1699	4	нормальная толерантность к глюкозе	0
1700	1	"гликемия натощак более или равна 5,1 ммоль/л, через 1 час – более или равна 10,0 ммоль/л"	1
1700	2	"гликемия натощак более или равна 7,0 ммоль/л, через 2 часа – более или равна 7,8 ммоль/л"	0
1700	3	"гликемия натощак более или равна 6,1 ммоль/л, через 2 часа – более или равна 7,8 ммоль/л"	0
1700	4	"гликемия натощак более или равна 7,0 ммоль/л, через 2 часа – более или равна 8,5 ммоль/л"	0
1701	1	"более или равен 7,0 ммоль/л"	1
1701	2	"более или равен 5,6 ммоль/л"	0
1701	3	"более или равен 6,0 ммоль/л"	0
1701	4	"15,0 ммоль/л"	0
1702	1	"11,3 ммоль/л"	1
1702	2	"менее 5,6 ммоль/л"	0
1702	3	"6,7 ммоль/л"	0
1702	4	"9,7 ммоль/л"	0
1703	1	"более или равный 5,1 ммоль/л"	1
1703	2	"более или равный 6,1 ммоль/л"	0
1703	3	"более или равный 5,5 ммоль/л"	0
1703	4	"более или равный 7,1 ммоль/л"	0
1704	1	"более или равный 8,5 ммоль/л"	1
1704	2	"более или равный 7,8 ммоль/л"	0
1704	3	"более или равный 6,1 ммоль/л"	0
1704	4	"более или равный 11,0 ммоль/л"	0
1705	1	наличие антител к островкам поджелудочной железы	1
1705	2	хронический панкреатит	0
1705	3	избыточная масса тела	0
1705	4	гиподинамия	0
1706	1	сахарный диабет 1 типа	1
1706	2	сахарный диабет 2 типа	0
1706	3	сахарный диабет 2 типа у молодых (MODY)	0
1706	4	нарушение толерантности к глюкозе	0
1707	1	сахарного диабета 1 типа	1
1707	2	сахарного диабета 2 типа	0
1707	3	нарушенной толерантности к глюкозе	0
1707	4	хронического панкреатита	0
1708	1	"количество продукта, содержащее 12 г углеводов"	1
1708	2	"количество продукта, содержащее 20 г углеводов"	0
1708	3	"количество продукта, содержащее 100 г углеводов"	0
1708	4	100 г хлеба	0
1709	1	инсулин	1
1709	2	метформин	0
1709	3	глибенкламид	0
1709	4	росиглитазон	0
1710	1	непосредственно перед или сразу после еды	1
1710	2	до приема пищи за 30-40 минут	0
1710	3	за 1 час до еды	0
1710	4	через 15-20 минут после еды	0
1711	1	гларгин («Туджео»)	1
1711	2	лизпро («Хумалог»)	0
1711	3	хумулин («Хумулин регуляр»)	0
1711	4	глулизин («Апидра»)	0
1712	1	гликемическому профилю	1
1712	2	уровню гликированного гемоглобина	0
1712	3	уровню общего холестерина	0
1712	4	уровню липопротеидов низкой плотности	0
1713	1	"неудовлетворительные показатели гликемического контроля, несмотря на интенсифицированную инсулинотерапию и обучение"	1
1713	2	впервые выявленный сахарный диабет 1 типа	0
1713	3	сахарный диабет 2 типа с ожирением	0
1713	4	пожилой возраст пациентов с признаками сердечно-сосудистой недостаточности	0
1714	1	3 месяцев	1
1714	2	1 года	0
1714	3	2 недель	0
1714	4	24 часов	0
1715	1	ожирение	1
1715	2	травма поджелудочной железы	0
1715	3	психическая травма	0
1715	4	аутоиммунное поражение островков Лангерганса с развитием инсулита и вирусное поражение бета-клеток	0
1716	1	снижение инкретиновогоэффекта	1
1716	2	отсутствие изменений в секреции инкретина	0
1716	3	повышение секреции глюкозозависимого инсулинотропного полипептида	0
1716	4	повышениеинкретиновогоэффекта	0
1717	1	сахарный диабет 2типа	1
1717	2	сахарный диабет 1 типа	0
1717	3	сахарный диабет 2типа у молодых (MODY)	0
1717	4	нарушение толерантности к глюкозе	0
1718	1	«Трулисити»	1
1718	2	«Глюкофаж-Лонг»	0
1718	3	«Сиофор»	0
1718	4	«Багомет»	0
1719	1	повышение чувствительности инсулиновых рецепторов	1
1719	2	усиление секреции инсулина бета-клетками	0
1719	3	замедление всасывания аминокислот из желудочно-кишечного тракта	0
1719	4	усиление всасывания углеводов из желудочно-кишечного тракта	0
1720	1	замедление всасывания углеводов в кишечнике	1
1720	2	снижение продукции глюкозы печенью	0
1720	3	снижение инсулинорезистентности	0
1720	4	снижение продукции глюкозы печенью и снижение инсулинорезистентности	0
1721	1	глюкозозависимая стимуляция секреции инсулина	1
1721	2	глюкозонезависимая стимуляция секреции инсулина	0
1721	3	усиление опорожнения желудка и уменьшение потребления пищи	0
1721	4	усиление секреции глюкагона	0
1722	1	лираглутид («Виктоза»)	1
1722	2	глибенкламид («Манинил»)	0
1722	3	акарбоза («Глюкобай»)	0
1722	4	гликвидон («Глюренорм»)	0
1723	1	эксенатид	1
1723	2	ситаглиптин	0
1723	3	гликлазид	0
1723	4	вилдаглиптин	0
1724	1	глифлозины	1
1724	2	глиниды	0
1724	3	глиптины	0
1724	4	глитазоны	0
1725	1	ингибиторов натрий-глюкозного котранспортера 2 типа	1
1725	2	ингибиторов дипептидилпептидазы-4	0
1725	3	аналогов глюкагоноподобного пептида-1	0
1725	4	препаратов сульфонилмочевины	0
1726	1	дулаглутид («Трулисити»)	1
1726	2	вилдаглиптин («Галвус»)	0
1726	3	репаглинид («Новонорм»)	0
1726	4	саксаглиптин («Онглиза»)	0
1727	1	линаглиптин («Тражента»)	1
1727	2	лираглутид («Виктоза»)	0
1727	3	канаглифлозин («Инвокана»)	0
1727	4	акарбоза («Глюкобай»)	0
1728	1	перевод на инсулинотерапию	1
1728	2	увеличение дозы сахароснижающих препаратов	0
1728	3	назначение ингибиторов дипептидилпептидазы-4	0
1728	4	исключение метформина	0
1729	1	артериальное давление 130/80 мм рт.ст.	1
1729	2	артериальное давление 160/90 мм рт.ст.	0
1729	3	артериальное давление 120/80 мм рт.ст.	0
1729	4	артериальное давление 140/90 мм рт.ст.	0
1730	1	"1,8 ммоль/л"	1
1730	2	"3,0 ммоль/л"	0
1730	3	"4,0 ммоль/л"	0
1730	4	"4,5 ммоль/л"	0
1731	1	образование фиброзной ткани и неоваскуляризация	1
1731	2	большое количество твердых и «ватных» экссудатов	0
1731	3	множество мелких интраретинальных геморрагий	0
1731	4	"расширение вен и капилляров, образование аневризм сосудов сетчатки"	0
